repository,solution_type,competency,customer_problems,solution_marketing,primary_language,secondary_language,aws_services,deployment_tools,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,agentic_capabilities
aws-samples/eb-docker-nginx-proxy,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (145 stars),Recently Updated,30,None
aws-samples/eb-docker-multiple-ports,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (59 stars),Recently Updated,30,None
aws-samples/machine-learning-samples,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (881 stars),Recently Updated,30,None
aws-samples/amazon-kinesis-learning,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (109 stars),Recently Updated,30,None
aws-samples/create-thumbnails-lambda,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (28 stars),Older,30,None
aws-samples/aws-demo-php-simple-app,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (13 stars),Recently Updated,30,None
aws-samples/AWSCodePipeline-S3-AWSCodeDeploy_Windows,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Older,30,None
aws-samples/aws-codepipeline-s3-codedeploy-linux,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (167 stars),Recently Updated,30,None
aws-samples/eb-node-express-sample,Foundation Builders,DevOps,Development Efficiency,starter,EJS,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (282 stars),Recently Updated,30,None
aws-samples/lambda-ecs-worker-pattern,Foundation Builders,DevOps,Development Efficiency,starter,POV-Ray SDL,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (292 stars),Recently Updated,30,None
aws-samples/aws-device-farm-sample-app-for-android,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (176 stars),Recently Updated,30,None
aws-samples/aws-device-farm-sample-app-for-ios,Foundation Builders,DevOps,Development Efficiency,starter,Objective-C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (46 stars),Recently Updated,30,None
aws-samples/aws-device-farm-appium-tests-for-sample-app,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (92 stars),Recently Updated,30,None
aws-samples/aws-device-farm-calabash-tests-for-sample-app,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (8 stars),Older,30,None
aws-samples/api-gateway-secure-pet-store,Foundation Builders,DevOps,Development Efficiency,starter,Objective-C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (308 stars),Recently Updated,30,None
aws-samples/amazon-elasticsearch-lambda-samples,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (389 stars),Recently Updated,30,None
aws-samples/amazon-redshift-udfs,Foundation Builders,DevOps,Development Efficiency,starter,PLpgSQL,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (242 stars),Recently Updated,30,None
aws-samples/opsworks-windows-demo-nodejs,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (33 stars),Recently Updated,30,None
aws-samples/opsworks-windows-demo-cookbooks,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Older,30,None
aws-samples/lambda-refarch-fileprocessing,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (468 stars),Recently Updated,30,None
aws-samples/lambda-refarch-iotbackend,Foundation Builders,DevOps,Development Efficiency,starter,Shell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (253 stars),Recently Updated,30,None
aws-samples/lambda-refarch-mobilebackend,Foundation Builders,DevOps,Development Efficiency,starter,Objective-C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (587 stars),Recently Updated,30,None
aws-samples/reinvent2015-dev309,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Older,30,None
aws-samples/lambda-refarch-webapp,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1598 stars),Recently Updated,30,None
aws-samples/lambda-refarch-streamprocessing,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (348 stars),Recently Updated,30,None
aws-samples/aws-go-wordfreq-sample,Foundation Builders,DevOps,Development Efficiency,starter,Go,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (48 stars),Recently Updated,30,None
aws-samples/aws-cfn-windows-hpc-template,Foundation Builders,DevOps,Development Efficiency,starter,PowerShell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (23 stars),Recently Updated,30,None
aws-samples/aws-cloudfront-samples,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (244 stars),Recently Updated,30,None
aws-samples/opsworks-linux-demo-cookbook-nodejs,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (22 stars),Recently Updated,30,None
aws-samples/awscli-reinvent-examples,Foundation Builders,DevOps,Development Efficiency,starter,Shell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (50 stars),Recently Updated,30,None
aws-samples/simplerobotservice,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (42 stars),Older,30,None
aws-samples/aws-cfn-go-template,Foundation Builders,DevOps,Development Efficiency,starter,Go,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (15 stars),Recently Updated,30,None
aws-samples/aws-saml-adfs-cmdlet-sample,Foundation Builders,DevOps,Development Efficiency,starter,C#,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (16 stars),Recently Updated,30,None
aws-samples/lambda-apigateway-twilio-tutorial,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (134 stars),Recently Updated,30,None
aws-samples/aws-codedeploy-sample-tomcat,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (102 stars),Recently Updated,30,None
aws-samples/eb-locustio-sample,Foundation Builders,DevOps,Development Efficiency,starter,Ruby,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (105 stars),Recently Updated,30,None
aws-samples/aws-device-farm-sample-web-app-using-appium,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (12 stars),Older,30,None
aws-samples/aws-iot-examples,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (332 stars),Recently Updated,30,None
aws-samples/eb-tomcat-snakes,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (83 stars),Recently Updated,30,None
aws-samples/aws-device-farm-sample-web-app-using-appium-python,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (27 stars),Recently Updated,30,None
aws-samples/apn-blog,Foundation Builders,DevOps,Development Efficiency,starter,HCL,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (162 stars),Recently Updated,30,None
aws-samples/aws-lambda-ddns-function,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (236 stars),Recently Updated,30,None
aws-samples/aws-lambda-rdbms-integration,Foundation Builders,DevOps,Development Efficiency,starter,C++,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (43 stars),Recently Updated,30,None
aws-samples/aws-iot-elf,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (68 stars),Recently Updated,30,None
aws-samples/lambda-refarch-voteapp,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (78 stars),Recently Updated,30,None
aws-samples/aws-iotbot,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (40 stars),Recently Updated,30,None
aws-samples/aws-s3-artifact-manager-sample,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Older,30,None
aws-samples/aws-serverless-chatbot-sample,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (237 stars),Recently Updated,30,None
aws-samples/aws-lambda-fanout,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (289 stars),Recently Updated,30,None
aws-samples/ecs-machine-learning,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (72 stars),Recently Updated,30,None
aws-samples/aws-lambda-mirror-dns-function,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (41 stars),Recently Updated,30,None
aws-samples/ecs-refarch-cloudformation,Foundation Builders,DevOps,Development Efficiency,starter,Makefile,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1709 stars),Recently Updated,30,None
aws-samples/aws-device-farm-appium-python-tests-for-ios-sample-app,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (20 stars),Recently Updated,30,None
aws-samples/aws-device-farm-appium-python-tests-for-android-sample-app,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (39 stars),Recently Updated,30,None
aws-samples/aws-device-farm-xctest-ui-tests-for-ios-sample-app,Foundation Builders,DevOps,Development Efficiency,starter,Objective-C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Older,30,None
aws-samples/lambda-java8-dynamodb,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (128 stars),Recently Updated,30,None
aws-samples/aws-serverless-crud-sample,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (80 stars),Recently Updated,30,None
aws-samples/aws-database-migration-samples,Foundation Builders,DevOps,Development Efficiency,starter,PLpgSQL,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (185 stars),Recently Updated,30,None
aws-samples/eb-java-scorekeep,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (247 stars),Recently Updated,30,None
aws-samples/eb-php-drupal,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (48 stars),Recently Updated,30,None
aws-samples/eb-php-wordpress,Foundation Builders,DevOps,Development Efficiency,starter,PHP,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (166 stars),Recently Updated,30,None
aws-samples/aws-lambda-lifecycle-hooks-function,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (106 stars),Recently Updated,30,None
aws-samples/swift-ecs-workshop,Foundation Builders,DevOps,Development Efficiency,starter,Objective-C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (38 stars),Recently Updated,30,None
aws-samples/aws-serverless-workshops,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4251 stars),Recently Updated,30,None
aws-samples/ecs-deep-learning-workshop,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (194 stars),Recently Updated,30,None
aws-samples/aws-codepipeline-time-windows,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (15 stars),Older,30,None
aws-samples/aws-codepipeline-synthetic-tests,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (23 stars),Recently Updated,30,None
aws-samples/pywren-workshops,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (38 stars),Recently Updated,30,None
