repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/aws-apigateway-sdk-java,https://github.com/awslabs/aws-apigateway-sdk-java,,2015-07-09T07:01:14Z,2025-01-27T09:34:26Z,32,8,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,270,No,,S3-Based Complete Analysis,2025-10-24T13:21:57.545936
awslabs/aws-sdk-net-samples,https://github.com/awslabs/aws-sdk-net-samples,,2015-07-13T23:02:57Z,2025-06-04T09:41:34Z,194,175,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C#,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,142,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.073955
awslabs/git-secrets,https://github.com/awslabs/git-secrets,Prevents you from committing secrets and credentials into git repositories,2015-07-15T20:41:19Z,2025-10-24T12:24:06Z,13003,1226,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Full-day Setup (4-8 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Highly popular community solution (13003+ stars),Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074247
awslabs/aws-elasticache-cluster-client-memcached-for-php,https://github.com/awslabs/aws-elasticache-cluster-client-memcached-for-php,Amazon ElastiCache Cluster Client is an enhanced PHP library to connect to ElastiCache clusters. This client library has been built upon libmemcached and is released under the Apache License. ,2015-07-28T21:24:50Z,2025-08-16T23:07:58Z,64,34,Foundation Builders,improvement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,68,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074319
awslabs/aws-elasticache-cluster-client-libmemcached,https://github.com/awslabs/aws-elasticache-cluster-client-libmemcached,Libmemcached library support for Amazon ElastiCache Memcached Cluster for PHP. The client is available at https://github.com/awslabs/aws-elasticache-cluster-client-memcached-for-php.,2015-07-29T06:50:57Z,2025-04-24T16:02:22Z,25,23,Innovation Catalysts,enablement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,C++,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,182,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.074370
awslabs/flowgger,https://github.com/awslabs/flowgger,A fast data collector in Rust,2015-08-09T17:08:53Z,2025-10-15T18:28:29Z,871,58,Operational Excellence,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Rust,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Monitoring Blindness, Manual Operations, System Downtime",Reliable AWS solution,Active,8,No,"graylog, kafka, logging, logging-server, ltsv, rust, syslog",S3-Based Complete Analysis,2025-10-24T13:21:58.074412
awslabs/landsat-on-aws,https://github.com/awslabs/landsat-on-aws,"Landsat on AWS is a web application that uses Amazon S3, Amazon API Gateway, and AWS Lambda to create an infinitely scalable interface to navigate Landsat satellite data.",2015-08-10T16:40:31Z,2024-10-05T13:15:46Z,42,11,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS Lambda,"Lambda, S3","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,384,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074476
awslabs/ec2-spot-labs,https://github.com/awslabs/ec2-spot-labs,Collection of tools and code examples to demonstrate best practices in using Amazon EC2 Spot Instances.,2015-08-10T22:32:53Z,2025-10-12T07:10:38Z,977,318,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Jupyter Notebook,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,12,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074522
awslabs/simplebeerservice,https://github.com/awslabs/simplebeerservice,Simple Beer Service (SBS) is a cloud-connected kegerator that streams live sensor data to AWS.,2015-08-12T18:32:22Z,2025-07-17T00:18:28Z,319,75,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,99,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074573
awslabs/collectd-cloudwatch,https://github.com/awslabs/collectd-cloudwatch,A collectd plugin for sending data to Amazon CloudWatch,2015-08-20T05:20:08Z,2025-10-03T20:07:41Z,207,131,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,20,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074636
awslabs/aws-sha256-agentcs,https://github.com/awslabs/aws-sha256-agentcs,SHA256 Agent Compatibility Scanner,2015-08-31T18:02:49Z,2025-09-23T21:37:29Z,6,2,Innovation Catalysts,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,30,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.074673
awslabs/aws-device-farm-gradle-plugin,https://github.com/awslabs/aws-device-farm-gradle-plugin,Gradle plugin for AWS Device Farm. ,2015-09-15T22:34:04Z,2025-08-07T03:01:52Z,61,27,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,78,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074717
awslabs/amazon-kinesis-archiver,https://github.com/awslabs/amazon-kinesis-archiver,An AWS Lambda module and node.js library to facilitate Amazon Kinesis archival and replay,2015-09-17T08:28:36Z,2022-12-16T06:12:47Z,31,6,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS Lambda,"Lambda, Kinesis","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1043,No,"amazon, dynamodb, kinesis, lambda",S3-Based Complete Analysis,2025-10-24T13:21:58.074774
awslabs/logstash-output-amazon_es,https://github.com/awslabs/logstash-output-amazon_es,Logstash output plugin to sign and export logstash events to Amazon Elasticsearch Service,2015-09-28T17:41:26Z,2024-11-20T18:19:34Z,375,103,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,337,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.074824
awslabs/aws-shell,https://github.com/awslabs/aws-shell,An integrated shell for working with the AWS CLI.,2015-09-29T19:04:16Z,2025-10-22T01:58:05Z,7321,781,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Full-day Setup (4-8 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Highly popular community solution (7321+ stars),Active,2,No,"aws, aws-cli, cloud, cloud-management",S3-Based Complete Analysis,2025-10-24T13:21:58.074874
awslabs/amazon-ecs-amazon-efs,https://github.com/awslabs/amazon-ecs-amazon-efs,Using Amazon EFS to Persist Data from Amazon ECS Containers,2015-10-01T20:53:59Z,2024-10-04T21:32:00Z,66,52,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SDK,ECS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,384,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.074911
awslabs/amazon-sqs-java-extended-client-lib,https://github.com/awslabs/amazon-sqs-java-extended-client-lib,An extension to the Amazon SQS client that enables sending and receiving messages up to 2GB via Amazon S3. ,2015-10-09T19:42:48Z,2025-10-23T15:05:52Z,224,111,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,S3,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,sqs-extended-client,S3-Based Complete Analysis,2025-10-24T13:21:58.074960
awslabs/amazon-kinesis-agent,https://github.com/awslabs/amazon-kinesis-agent,Continuously monitors a set of log files  and sends new data to the Amazon Kinesis Stream and Amazon Kinesis Firehose in near-real-time. ,2015-10-09T22:14:48Z,2025-09-01T00:05:05Z,370,224,Foundation Builders,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,53,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075004
awslabs/lambda-streams-to-firehose,https://github.com/awslabs/lambda-streams-to-firehose,AWS Lambda function to forward Stream data to Kinesis Firehose,2015-10-30T08:41:46Z,2025-08-06T12:39:33Z,279,92,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,JavaScript,"TypeScript, Python",AWS Lambda,"Lambda, Kinesis","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,79,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075051
awslabs/aws-detailed-billing-parser,https://github.com/awslabs/aws-detailed-billing-parser,Python script to parse the Detailed Billing Reports to Elasticsearch or .json file.,2015-11-30T17:45:03Z,2024-12-26T23:41:15Z,118,46,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,301,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.075090
awslabs/pgbouncer-fast-switchover,https://github.com/awslabs/pgbouncer-fast-switchover,Adds query routing and rewriting extensions to pgbouncer,2015-12-08T19:33:20Z,2025-10-07T20:03:04Z,441,85,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,16,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075136
awslabs/route53-dynamic-dns-with-lambda,https://github.com/awslabs/route53-dynamic-dns-with-lambda,"A Dynamic DNS system built with API Gateway, Lambda & Route 53. ",2015-12-18T06:07:00Z,2025-10-20T03:42:45Z,530,172,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,4,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075182
awslabs/ec2-spot-jenkins-plugin,https://github.com/awslabs/ec2-spot-jenkins-plugin,"The EC2 Spot Jenkins plugin launches EC2 Spot instances as worker nodes for Jenkins CI server, automatically scaling the capacity with the load. ",2016-01-19T23:29:44Z,2025-08-13T11:14:33Z,95,26,Foundation Builders,optimise,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,72,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075220
awslabs/kinesis-aggregation,https://github.com/awslabs/kinesis-aggregation,AWS libraries/modules for working with Kinesis aggregated record data,2016-01-22T17:53:46Z,2025-04-24T16:02:28Z,377,147,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,182,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075278
awslabs/aws-akka-firehose,https://github.com/awslabs/aws-akka-firehose,An Akka actor that writes JSON data into Amazon Kinesis Firehose.,2016-02-05T19:24:57Z,2023-01-11T07:45:10Z,14,4,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1017,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075324
awslabs/aws-config-rules,https://github.com/awslabs/aws-config-rules,"[Node, Python, Java] Repository of sample Custom Rules for AWS Config. ",2016-02-08T17:33:58Z,2025-10-21T21:55:33Z,1720,873,Foundation Builders,compliance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Half-day Setup (1-4 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Popular community solution (1720+ stars),Active,2,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075359
awslabs/aws-apigateway-lambda-authorizer-blueprints,https://github.com/awslabs/aws-apigateway-lambda-authorizer-blueprints,Blueprints and examples for Lambda-based custom Authorizers for use in API Gateway.,2016-02-16T22:33:25Z,2025-10-06T09:18:24Z,717,364,Foundation Builders,starter,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,C#,"Python, JavaScript",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,18,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075393
awslabs/aws-blog-net-exploring-aspnet-core,https://github.com/awslabs/aws-blog-net-exploring-aspnet-core,This repository is for exploring the new ASP.NET Core platform with AWS. On the AWS .NET blog site there are a series of posts talking about the code in this repository. For any questions or ideas about ASP.NET Core on AWS feel free to open a GitHub issue. That will help us in determining future blog content.,2016-02-26T21:53:14Z,2024-08-09T01:06:16Z,29,41,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,PowerShell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,441,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075455
awslabs/lambda-chef-node-cleanup,https://github.com/awslabs/lambda-chef-node-cleanup,Automatically Delete Terminated Instances in Chef Server with AWS Lambda ,2016-03-03T23:06:26Z,2025-08-25T02:32:32Z,71,39,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,60,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075503
awslabs/aws-security-automation,https://github.com/awslabs/aws-security-automation,Collection of scripts and resources for DevSecOps and Automated Incident Response Security,2016-03-10T19:33:28Z,2025-10-15T18:17:40Z,630,200,Compliance Accelerators,compliance,"Security, Compliance",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Security Gaps, Compliance Burden, Audit Failures",Reliable AWS solution,Active,8,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075532
